samp_name	technical_rep_id	assay_name	pcr_plate_id	amp_vis_method	estimatedNumberOfCopies_method	ddPCR_totalDropletCount	ddPCR_positiveDropletCount	ddPCR_negativeDropletCount	estimatedNumberOfCopies_instrument	Extraction_Elution_Vol_uL	ddPCR_template_vol_uL	ddPCR_assay_vol_uL	Dilution_factor_ddPCR_template	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	
CMIC611-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14878	9	14869	0.76	100	2	20	1	761.1358762	copies/L	
CMIC611-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	12842	10	12832	0.98	100	2	20	1	979.8719883	copies/L	
CMIC611-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14363	13	14350	1.14	100	2	20	1	1139.01031	copies/L	
CMIC613-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14271	7500	6771	12.92	100	2	20	50	645907.6881	copies/L	
CMIC613-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	11911	6210	5701	16.39	100	2	20	50	819404.5067	copies/L	
CMIC613-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13989	7152	6837	15.26	100	2	20	50	763179.8744	copies/L	
CMIC614-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15109	47	15062	3.92	100	2	20	1	3918.964863	copies/L	
CMIC614-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13862	27	13835	2.45	100	2	20	1	2452.415466	copies/L	
CMIC614-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13789	33	13756	3.01	100	2	20	1	3013.937235	copies/L	
CMIC615-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14570	117	14453	10.14	100	2	20	1	10141.65401	copies/L	
CMIC615-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13667	99	13568	9.14	100	2	20	1	9144.765854	copies/L	
CMIC615-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14027	84	13943	7.56	100	2	20	1	7555.287361	copies/L	
CMIC616-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15130	1556	13574	121.26	100	2	20	1	121261.4136	copies/L	
CMIC616-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14476	1480	12996	129.77	100	2	20	1	129768.5242	copies/L	
CMIC616-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14612	1428	13184	124.77	100	2	20	1	124770.0195	copies/L	
CMIC617-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15850	5410	10440	9.91	100	2	20	50	495456.3141	copies/L	
CMIC617-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14266	4383	9883	8.04	100	2	20	50	402143.2877	copies/L	
CMIC617-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14486	4889	9597	8.08	100	2	20	50	404045.105	copies/L	
CMIC618-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15599	5	15594	0.4	100	2	20	1	403.2512307	copies/L	
CMIC618-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13849	1	13848	0.09	100	2	20	1	90.83016962	copies/L	
CMIC618-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15254	6	15248	0.49	100	2	20	1	494.8639274	copies/L	
CMIC620-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16174	1	16173	0.08	100	2	20	1	77.77300477	copies/L	
CMIC620-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14899	0	14899	0	100	2	20	1	0	copies/L	
CMIC620-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16675	0	16675	0	100	2	20	1	0	copies/L	
CMIC624-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15789	9	15780	0.72	100	2	20	1	717.2070146	copies/L	
CMIC624-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18505	12	18493	0.82	100	2	20	1	815.9543872	copies/L	
CMIC624-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17507	12	17495	0.86	100	2	20	1	862.4843955	copies/L	
CMIC625-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16322	2	16320	0.15	100	2	20	1	154.1402638	copies/L	
CMIC625-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17332	1	17331	0.07	100	2	20	1	72.57661223	copies/L	
CMIC625-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17914	0	17914	0	100	2	20	1	0	copies/L	
CMIC626-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15500	9	15491	0.73	100	2	20	1	730.5833697	copies/L	
CMIC626-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17384	8	17376	0.58	100	2	20	1	578.9926648	copies/L	
CMIC626-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17328	2	17326	0.15	100	2	20	1	145.1909244	copies/L	
CMIC628-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13344	1	13343	0.09	100	2	20	1	94.26774085	copies/L	
CMIC628-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16363	0	16363	0	100	2	20	1	0	copies/L	
CMIC628-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14876	2	14874	0.17	100	2	20	1	169.1242605	copies/L	
