samp_name	technical_rep_id	assay_name	pcr_plate_id	quantificationCycle	estimatedNumberOfCopies_method	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	LoDLoQLevel
CMIC611-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	761.1358762	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC611-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	979.8719883	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC611-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	1139.01031	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC613-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	645907.6881	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC613-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	819404.5067	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC613-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	763179.8744	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC614-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	3918.964863	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC614-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	2452.415466	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC614-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	3013.937235	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC615-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	10141.65401	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC615-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	9144.765854	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC615-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	7555.287361	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC616-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	121261.4136	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC616-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	129768.5242	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC616-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	124770.0195	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC617-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	495456.3141	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC617-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	402143.2877	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC617-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	404045.105	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC618-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	403.2512307	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC618-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	90.83016962	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC618-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	494.8639274	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC620-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	77.77300477	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC620-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
