SampleID,copies_L,SurveyType,LocationType,date,site_id,site_latitude,site_longitude,transect_n,biomass_density_sum,biomass_density_avg,biomass_density_max,pyc_count_sum,pyc_count_mean,pyc_count_max,density_sum,density_avg,density_max
QMIC4330,0,intertidal,Quadra,2021-12-07,annex,50.11535,-125.2201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QMIC4330,0,intertidal,Quadra,2021-12-07,annex,50.11535,-125.2201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QMIC4330,0,intertidal,Quadra,2021-12-07,annex,50.11535,-125.2201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QMIC4333,424.0221083,intertidal,Quadra,2022-05-18,annex,50.11535,-125.2201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QMIC4333,370.0790405,intertidal,Quadra,2022-05-18,annex,50.11535,-125.2201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QMIC4333,143.0282146,intertidal,Quadra,2022-05-18,annex,50.11535,-125.2201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMIC634,39300.78506,subtidal,Fjord,2022-05-22,burke doc marker,51.9652611,-127.71152,3,0.877650109,0.292550036,0.390599856,62,20.66666667,41,1.033333333,0.344444444,0.683333333
CMIC634,53128.81088,subtidal,Fjord,2022-05-22,burke doc marker,51.9652611,-127.71152,3,0.877650109,0.292550036,0.390599856,62,20.66666667,41,1.033333333,0.344444444,0.683333333
CMIC634,50560.94742,subtidal,Fjord,2022-05-22,burke doc marker,51.9652611,-127.71152,3,0.877650109,0.292550036,0.390599856,62,20.66666667,41,1.033333333,0.344444444,0.683333333
CMIC614,3918.964863,subtidal,Fjord,2021-10-16,burke doc marker,51.9652611,-127.71152,3,0.510080248,0.170026749,0.509242533,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC614,2452.415466,subtidal,Fjord,2021-10-16,burke doc marker,51.9652611,-127.71152,3,0.510080248,0.170026749,0.509242533,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC614,3013.937235,subtidal,Fjord,2021-10-16,burke doc marker,51.9652611,-127.71152,3,0.510080248,0.170026749,0.509242533,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC793,6532.123566,subtidal,Fjord,2022-10-06,burke doc marker,51.9652611,-127.71152,3,0.595619333,0.198539778,0.310588315,72,24,47,1.2,0.4,0.783333333
