SampleID,copies_L,Accepted_Droplets,Positive_Droplets,Negative_Droplets,Sample_Vol_Filtered_L,Extraction_Elution_Vol_uL,ddPCR_template_vol_uL,ddPCR_assay_vol_uL,Dilution_factor_ddPCR_template,Conc_ddPCR_output_copies,SurveyType,LocationType,date,site_id,site_latitude,site_longitude,transect_n,biomass_density_sum,biomass_density_avg,biomass_density_max,pyc_count_sum,pyc_count_mean,pyc_count_max,density_sum,density_avg,density_max
CMIC611,761.1358762,14878,9,14869,1,100,2,20,1,0.76,subtidal,OuterIslands,2021-10-12,kwakume5041,51.70860511,-127.8769169,3,0,0,0,0,0,0,0,0,0
CMIC611,979.8719883,12842,10,12832,1,100,2,20,1,0.98,subtidal,OuterIslands,2021-10-12,kwakume5041,51.70860511,-127.8769169,3,0,0,0,0,0,0,0,0,0
CMIC611,1139.01031,14363,13,14350,1,100,2,20,1,1.14,subtidal,OuterIslands,2021-10-12,kwakume5041,51.70860511,-127.8769169,3,0,0,0,0,0,0,0,0,0
CMIC613,645907.6881,14271,7500,6771,1,100,2,20,50,12.92,subtidal,Fjord,2021-10-13,rivers nelson narrows,51.7700497,-127.43015,3,0.736032003,0.245344001,0.494958552,13,4.333333333,7,0.216666667,0.072222222,0.116666667
CMIC613,819404.5067,11911,6210,5701,1,100,2,20,50,16.39,subtidal,Fjord,2021-10-13,rivers nelson narrows,51.7700497,-127.43015,3,0.736032003,0.245344001,0.494958552,13,4.333333333,7,0.216666667,0.072222222,0.116666667
CMIC613,763179.8744,13989,7152,6837,1,100,2,20,50,15.26,subtidal,Fjord,2021-10-13,rivers nelson narrows,51.7700497,-127.43015,3,0.736032003,0.245344001,0.494958552,13,4.333333333,7,0.216666667,0.072222222,0.116666667
CMIC614,3918.964863,15109,47,15062,1,100,2,20,1,3.92,subtidal,Fjord,2021-10-16,burke doc marker,51.9652611,-127.71152,3,0.510080248,0.170026749,0.509242533,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC614,2452.415466,13862,27,13835,1,100,2,20,1,2.45,subtidal,Fjord,2021-10-16,burke doc marker,51.9652611,-127.71152,3,0.510080248,0.170026749,0.509242533,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC614,3013.937235,13789,33,13756,1,100,2,20,1,3.01,subtidal,Fjord,2021-10-16,burke doc marker,51.9652611,-127.71152,3,0.510080248,0.170026749,0.509242533,4,1.333333333,3,0.066666667,0.022222222,0.05
CMIC615,10141.65401,14570,117,14453,1,100,2,20,1,10.14,subtidal,Fjord,2021-10-16,burke hvidsen,51.9517062,-127.74103,3,0.265484005,0.088494668,0.202491052,45,15,28,0.75,0.25,0.466666667
CMIC615,9144.765854,13667,99,13568,1,100,2,20,1,9.14,subtidal,Fjord,2021-10-16,burke hvidsen,51.9517062,-127.74103,3,0.265484005,0.088494668,0.202491052,45,15,28,0.75,0.25,0.466666667
CMIC615,7555.287361,14027,84,13943,1,100,2,20,1,7.56,subtidal,Fjord,2021-10-16,burke hvidsen,51.9517062,-127.74103,3,0.265484005,0.088494668,0.202491052,45,15,28,0.75,0.25,0.466666667
CMIC616,121261.4136,15130,1556,13574,1,100,2,20,1,121.26,subtidal,Fjord,2021-10-16,burke eagle rock,51.9617544,-127.77545,3,0.323367656,0.107789219,0.305268578,14,4.666666667,13,0.233333333,0.077777778,0.216666667
CMIC616,129768.5242,14476,1480,12996,1,100,2,20,1,129.77,subtidal,Fjord,2021-10-16,burke eagle rock,51.9617544,-127.77545,3,0.323367656,0.107789219,0.305268578,14,4.666666667,13,0.233333333,0.077777778,0.216666667
CMIC616,124770.0195,14612,1428,13184,1,100,2,20,1,124.77,subtidal,Fjord,2021-10-16,burke eagle rock,51.9617544,-127.77545,3,0.323367656,0.107789219,0.305268578,14,4.666666667,13,0.233333333,0.077777778,0.216666667
CMIC617,495456.3141,15850,5410,10440,1,100,2,20,50,9.91,subtidal,Fjord,2021-10-16,burke sagen,51.9258389,-127.88845,3,0.036414598,0.012138199,0.036414598,1,0.333333333,1,0.016666667,0.005555556,0.016666667
