Target,Sample_ID,TemplateVolume,ReactionVolume,TargetConcentration,MeasuredConcentration,TotalDroplets,PositiveDroplets,NegativeDroplets
PYCNO,10000,5,20,10000,3228.917969,17169,15851,1318
PYCNO,1000,5,20,1000,299.5619812,18394,3898,14496
PYCNO,100,5,20,100,28.52681923,19533,438,19095
PYCNO,10,5,20,10,2.360741377,21333,40,21293
PYCNO,5,5,20,5,1.136008143,18832,17,18815
PYCNO,1,5,20,1,0.386578381,19526,6,19520
PYCNO,0.8,5,20,0.8,0.127747074,9847,1,9846
PYCNO,0.4,5,20,0.4,0.063930348,19676,1,19675
PYCNO,0.2,5,20,0.2,0,19947,0,19947
PYCNO,NTC,5,20,0,0,19460,0,19460
PYCNO,10000,5,20,10000,3202.887451,18323,16887,1436
PYCNO,1000,5,20,1000,279.2072449,18306,3644,14662
PYCNO,100,5,20,100,27.48021889,20685,447,20238
PYCNO,10,5,20,10,2.601191759,20331,42,20289
PYCNO,5,5,20,5,1.162295222,19489,18,19471
PYCNO,1,5,20,1,0.133325741,18870,2,18868
PYCNO,0.8,5,20,0.8,0.120185517,20933,2,20931
PYCNO,0.4,5,20,0.4,0,19651,0,19651
PYCNO,0.2,5,20,0.2,0,19801,0,19801
PYCNO,NTC,5,20,0,0,20744,0,20744
PYCNO,10000,5,20,10000,3222.304443,17999,16610,1389
PYCNO,1000,5,20,1000,285.14505,19277,3910,15367
PYCNO,100,5,20,100,27.142313,18738,400,18338
PYCNO,10,5,20,10,2.295189142,19199,35,19164
PYCNO,5,5,20,5,1.325599909,18988,20,18968
PYCNO,1,5,20,1,0.063607067,19776,1,19775
PYCNO,0.8,5,20,0.8,0.139677048,18012,2,18010
PYCNO,0.4,5,20,0.4,0.311236322,20210,5,20205
PYCNO,0.2,5,20,0.2,0,20732,0,20732
PYCNO,NTC,5,20,0,0,19415,0,19415
PYCNO,10000,5,20,10000,3250.939453,18029,16669,1360
PYCNO,1000,5,20,1000,287.693512,19164,3918,15246
PYCNO,100,5,20,100,28.30409241,18876,420,18456
PYCNO,10,5,20,10,2.618772745,19233,40,19193
PYCNO,5,5,20,5,1.466448069,19740,23,19717
PYCNO,1,5,20,1,0.26658082,18876,4,18872
PYCNO,0.8,5,20,0.8,0.131417394,19144,2,19142
PYCNO,0.4,5,20,0.4,0.061498597,20454,1,20453
PYCNO,0.2,5,20,0.2,0,18861,0,18861
PYCNO,NTC,5,20,0,0,19651,0,19651
PYCNO,10000,5,20,10000,3253.005859,17408,16097,1311
PYCNO,1000,5,20,1000,235.0813141,10049,1713,8336
PYCNO,100,5,20,100,28.47951126,18091,405,17686
PYCNO,10,5,20,10,3.159084082,20731,52,20679
PYCNO,5,5,20,5,1.276778221,18728,19,18709
PYCNO,1,5,20,1,0.459181309,19179,7,19172
PYCNO,0.8,5,20,0.8,0.195264533,19327,3,19324
PYCNO,0.4,5,20,0.4,0.135435969,18576,2,18574
PYCNO,0.2,5,20,0.2,0,19895,0,19895
PYCNO,NTC,5,20,0,0,18801,0,18801
PYCNO,10000,5,20,10000,3183.892578,19079,17561,1518
PYCNO,1000,5,20,1000,287.071228,18706,3817,14889
PYCNO,100,5,20,100,27.03046989,17921,381,17540
PYCNO,10,5,20,10,1.54189086,19591,24,19567
PYCNO,5,5,20,5,2.018068314,18714,30,18684
PYCNO,1,5,20,1,0.121726573,20668,2,20666
PYCNO,0.8,5,20,0.8,0,20707,0,20707
PYCNO,0.4,5,20,0.4,0,19537,0,19537
PYCNO,0.2,5,20,0.2,0,19357,0,19357
PYCNO,NTC,5,20,0,0,19199,0,19199
PYCNO,10000,5,20,10000,3111.948486,18327,16783,1544
PYCNO,1000,5,20,1000,278.8293152,18640,3706,14934
PYCNO,100,5,20,100,28.58433151,18604,418,18186
PYCNO,10,5,20,10,3.197545528,16937,43,16894
PYCNO,5,5,20,5,0.968455017,19490,15,19475
PYCNO,1,5,20,1,0.123799182,20322,2,20320
PYCNO,0.8,5,20,0.8,0.189880237,19875,3,19872
PYCNO,0.4,5,20,0.4,0.143796697,17496,2,17494
PYCNO,0.2,5,20,0.2,0,19337,0,19337
PYCNO,NTC,5,20,0,0,19646,0,19646
PYCNO,10000,5,20,10000,3214.764893,18587,17144,1443
PYCNO,1000,5,20,1000,288.7618103,18316,3757,14559
PYCNO,100,5,20,100,25.56886673,19829,399,19430
PYCNO,10,5,20,10,2.607470512,20765,43,20722
PYCNO,5,5,20,5,1.201204896,18858,18,18840
PYCNO,1,5,20,1,0.400592864,18843,6,18837
PYCNO,0.8,5,20,0.8,0.067202434,18718,1,18717
PYCNO,0.4,5,20,0.4,0.064686514,19446,1,19445
PYCNO,0.2,5,20,0.2,0.065226562,19285,1,19284
PYCNO,NTC,5,20,0,0,18564,0,18564
