Target,Sample description 1,Sample description 2,TemplateVolume,ReactionVolume,TargetConcentration,MeasuredConcentration,TotalDroplets,PositiveDroplets,NegativeDroplets
PYCNO,gBlock_20,5-replicates,2,20,20,2.697538376,16338,35,16303
PYCNO,gBlock_20,5-replicates,2,20,20,1.130734801,15581,14,15567
PYCNO,gBlock_20,5-replicates,2,20,20,2.023286819,16177,26,16151
PYCNO,gBlock_20,5-replicates,2,20,20,2.590859175,17010,35,16975
PYCNO,gBlock_20,5-replicates,2,20,20,2.609590292,15923,33,15890
PYCNO,gBlock_10,5-replicates,2,20,10,0.937373579,13424,10,13414
PYCNO,gBlock_10,5-replicates,2,20,10,0.931139231,17568,13,17555
PYCNO,gBlock_10,5-replicates,2,20,10,0.868334591,15940,11,15929
PYCNO,gBlock_10,5-replicates,2,20,10,0.759348989,16570,10,16560
PYCNO,gBlock_10,5-replicates,2,20,10,0.842685699,16425,11,16414
PYCNO,gBlock_8,5-replicates,2,20,8,1.579992056,16729,21,16708
PYCNO,gBlock_8,5-replicates,2,20,8,0.450308442,16763,6,16757
PYCNO,gBlock_8,5-replicates,2,20,8,0.636891961,15804,8,15796
PYCNO,gBlock_8,5-replicates,2,20,8,0.767644107,16391,10,16381
PYCNO,gBlock_8,5-replicates,2,20,8,1.121655345,16829,15,16814
PYCNO,gBlock_6,5-replicates,2,20,6,0.840076387,16476,11,16465
PYCNO,gBlock_6,5-replicates,2,20,6,0.382805824,16432,5,16427
PYCNO,gBlock_6,5-replicates,2,20,6,0.375918716,16733,5,16728
PYCNO,gBlock_6,5-replicates,2,20,6,0.703580737,17883,10,17873
PYCNO,gBlock_6,5-replicates,2,20,6,0.532299459,16545,7,16538
PYCNO,gBlock_4,5-replicates,2,20,4,0.764564574,16457,10,16447
PYCNO,gBlock_4,5-replicates,2,20,4,0.31786254,15831,4,15827
PYCNO,gBlock_4,5-replicates,2,20,4,0.322301328,15613,4,15609
PYCNO,gBlock_4,5-replicates,2,20,4,0.572242975,17589,8,17581
PYCNO,gBlock_4,5-replicates,2,20,4,0.509064376,17300,7,17293
PYCNO,gBlock_2,5-replicates,2,20,2,0.073146373,17197,1,17196
PYCNO,gBlock_2,5-replicates,2,20,2,0,17102,0,17102
PYCNO,gBlock_2,5-replicates,2,20,2,0.140065879,17962,2,17960
PYCNO,gBlock_2,5-replicates,2,20,2,0.078315325,16062,1,16061
PYCNO,gBlock_2,5-replicates,2,20,2,0.291830301,17243,4,17239
PYCNO,gBlock_1,5-replicates,2,20,1,0,16999,0,16999
PYCNO,gBlock_1,5-replicates,2,20,1,0.212279394,17778,3,17775
PYCNO,gBlock_1,5-replicates,2,20,1,0.073359668,17147,1,17146
PYCNO,gBlock_1,5-replicates,2,20,1,0,17907,0,17907
PYCNO,gBlock_1,5-replicates,2,20,1,0.151622668,16593,2,16591
PYCNO,NTC,5-replicates,2,20,0,0,17212,0,17212
PYCNO,NTC,5-replicates,2,20,0,0,18479,0,18479
PYCNO,NTC,5-replicates,2,20,0,0,16066,0,16066
PYCNO,NTC,5-replicates,2,20,0,0,17125,0,17125
PYCNO,NTC,5-replicates,2,20,0,0,16243,0,16243
