"Target","Lab","Cq","SQ","TemplateVolume","ReactionVolume"
"Pycno","NOAA PMEL OME",22.4151020050049,1e+05,2,10
"Pycno","NOAA PMEL OME",22.48708152771,1e+05,2,10
"Pycno","NOAA PMEL OME",21.0939044952393,1e+05,2,10
"Pycno","NOAA PMEL OME",21.1839599609375,1e+05,2,10
"Pycno","NOAA PMEL OME",21.7818202972412,1e+05,2,10
"Pycno","NOAA PMEL OME",24.1091728210449,1e+05,2,10
"Pycno","NOAA PMEL OME",NA,NA,2,10
"Pycno","NOAA PMEL OME",NA,NA,2,10
"Pycno","NOAA PMEL OME",NA,NA,2,10
"Pycno","NOAA PMEL OME",26.4644889831543,10000,2,10
"Pycno","NOAA PMEL OME",24.4130210876465,10000,2,10
"Pycno","NOAA PMEL OME",23.6759567260742,10000,2,10
"Pycno","NOAA PMEL OME",23.60133934021,10000,2,10
"Pycno","NOAA PMEL OME",25.3641262054443,10000,2,10
"Pycno","NOAA PMEL OME",24.7925148010254,10000,2,10
"Pycno","NOAA PMEL OME",NA,NA,2,10
"Pycno","NOAA PMEL OME",NA,NA,2,10
"Pycno","NOAA PMEL OME",NA,NA,2,10
"Pycno","NOAA PMEL OME",27.7786083221436,1000,2,10
"Pycno","NOAA PMEL OME",27.8838539123535,1000,2,10
"Pycno","NOAA PMEL OME",27.0347843170166,1000,2,10
"Pycno","NOAA PMEL OME",26.8708534240723,1000,2,10
"Pycno","NOAA PMEL OME",27.3501262664795,1000,2,10
"Pycno","NOAA PMEL OME",28.8818206787109,1000,2,10
"Pycno","NOAA PMEL OME",31.2688331604004,100,2,10
"Pycno","NOAA PMEL OME",31.2982902526855,100,2,10
"Pycno","NOAA PMEL OME",30.254581451416,100,2,10
"Pycno","NOAA PMEL OME",30.3914413452148,100,2,10
"Pycno","NOAA PMEL OME",31.4946784973145,100,2,10
"Pycno","NOAA PMEL OME",34.4294776916504,10,2,10
"Pycno","NOAA PMEL OME",34.4793510437012,10,2,10
"Pycno","NOAA PMEL OME",33.8729934692383,10,2,10
"Pycno","NOAA PMEL OME",34.4297370910645,10,2,10
"Pycno","NOAA PMEL OME",34.7060966491699,10,2,10
"Pycno","NOAA PMEL OME",35.1823577880859,5,2,10
"Pycno","NOAA PMEL OME",34.8217277526855,5,2,10
"Pycno","NOAA PMEL OME",35.1739349365234,5,2,10
"Pycno","NOAA PMEL OME",36.6040496826172,5,2,10
"Pycno","NOAA PMEL OME",35.4954872131348,5,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",37.3998107910156,1,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",38.4799385070801,1,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",39.4315795898438,1,2,10
"Pycno","NOAA PMEL OME",38.1231651306152,1,2,10
"Pycno","NOAA PMEL OME",38.3643074035644,1,2,10
"Pycno","NOAA PMEL OME",39.8541984558106,1,2,10
"Pycno","NOAA PMEL OME",20.6599884033203,1e+05,2,10
"Pycno","NOAA PMEL OME",21.513500213623,1e+05,2,10
"Pycno","NOAA PMEL OME",20.3223514556885,1e+05,2,10
"Pycno","NOAA PMEL OME",20.5061588287354,1e+05,2,10
"Pycno","NOAA PMEL OME",20.5507373809814,1e+05,2,10
"Pycno","NOAA PMEL OME",22.2752304077148,1e+05,2,10
"Pycno","NOAA PMEL OME",27.4413528442383,10000,2,10
"Pycno","NOAA PMEL OME",23.7883586883545,10000,2,10
"Pycno","NOAA PMEL OME",23.4159603118896,10000,2,10
"Pycno","NOAA PMEL OME",24.2165088653564,10000,2,10
"Pycno","NOAA PMEL OME",23.821102142334,10000,2,10
"Pycno","NOAA PMEL OME",25.8103427886963,10000,2,10
"Pycno","NOAA PMEL OME",28.8187789916992,1000,2,10
"Pycno","NOAA PMEL OME",28.8298587799072,1000,2,10
"Pycno","NOAA PMEL OME",27.692964553833,1000,2,10
"Pycno","NOAA PMEL OME",27.3196125030518,1000,2,10
"Pycno","NOAA PMEL OME",28.0311260223389,1000,2,10
"Pycno","NOAA PMEL OME",29.3958320617676,1000,2,10
"Pycno","NOAA PMEL OME",31.0435829162598,100,2,10
"Pycno","NOAA PMEL OME",30.6673355102539,100,2,10
"Pycno","NOAA PMEL OME",30.4926357269287,100,2,10
"Pycno","NOAA PMEL OME",31.5654964447021,100,2,10
"Pycno","NOAA PMEL OME",30.4074687957764,100,2,10
"Pycno","NOAA PMEL OME",35.0621337890625,10,2,10
"Pycno","NOAA PMEL OME",34.5443992614746,10,2,10
"Pycno","NOAA PMEL OME",35.3161888122559,10,2,10
"Pycno","NOAA PMEL OME",33.6016273498535,10,2,10
"Pycno","NOAA PMEL OME",36.6753807067871,10,2,10
"Pycno","NOAA PMEL OME",35.52685546875,10,2,10
"Pycno","NOAA PMEL OME",35.872257232666,5,2,10
"Pycno","NOAA PMEL OME",35.5792045593262,5,2,10
"Pycno","NOAA PMEL OME",34.4503211975098,5,2,10
"Pycno","NOAA PMEL OME",37.1377258300781,5,2,10
"Pycno","NOAA PMEL OME",38.233570098877,5,2,10
"Pycno","NOAA PMEL OME",36.6694526672363,5,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",37.3069801330566,1,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",39.6872177124023,1,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",38.5787200927734,1,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
"Pycno","NOAA PMEL OME",39.37353515625,1,2,10
"Pycno","NOAA PMEL OME",NA,1,2,10
