Well,Sample description 1,Sample.Type,Larvae Number,Replicate,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Threshold1,ThresholdSigmaAbove,ThresholdSigmaBelow,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,PoissonConfidenceMax68,PoissonConfidenceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
A01,L-10-A,L,10,A,1,1000000,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20000000,1000000,10821.98926,16330,16330,0,975.0623169,25.71466827,,7778.030576,,7778.030576,1000000,11807.14258,No,0,0,0,0
A02,L-10-A,L,10,A,1,1000000,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20000000,1000000,10766.0752,15620,15620,0,975.0623169,25.93339523,,7837.933775,,7837.933775,1000000,11751.22852,No,0,0,0,0
A03,LW-10-A,LW,10,A,1,69.80171204,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1396.03418,74.10387421,65.51420593,18803,1015,17788,975.0623169,5.984990617,13.74734257,6034.773003,550.8225233,846.8502708,71.99485016,67.61238098,No,0,0,0,0
A04,LW-10-A,LW,10,A,1,66.72628021,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1334.525635,70.88391876,62.58233643,19220,993,18227,975.0623169,6.382942004,13.46103395,6170.346953,559.8926551,849.7563969,68.84580231,64.61032104,No,0,0,0,0
A05,LW-10-B,LW,10,B,1,95.16732025,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1903.346436,100.5943069,89.76364899,16290,1187,15103,975.0623169,6.128169252,13.84765092,6131.034442,553.7754804,960.1724348,97.93326569,92.40744781,No,0,0,0,0
A06,LW-10-B,LW,10,B,1,103.1168671,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2062.337402,108.7825241,97.47661591,16250,1279,14971,975.0623169,6.518831055,13.12802823,6209.426065,559.3754293,1004.077876,106.0043182,100.2360306,No,0,0,0,0
B01,LW-10-C,LW,10,C,1,87.95749664,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1759.149902,92.98936462,82.94567871,17457,1179,16278,975.0623169,5.344028703,13.38043985,5865.448799,556.165183,914.7402751,90.52225494,85.39795685,No,0,0,0,0
B02,LW-10-C,LW,10,C,1,89.63655853,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1792.731201,94.72592926,84.56768799,17403,1197,16206,975.0623169,5.88357469,13.60137324,5944.451106,560.6727176,930.9756959,92.23059845,87.04785156,No,0,0,0,0
B03,LW-100-C,LW,100,C,1,1463.983154,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,29279.66406,1491.00708,1437.527588,18727,12879,5848,975.0623169,6.203101775,12.37345878,6206.324081,554.0597039,4441.255352,1477.698364,1450.415894,No,0,0,0,0
B04,LW-100-C,LW,100,C,1,1510.737915,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,30214.75781,1538.436157,1483.636475,18818,13156,5662,975.0623169,6.450659602,11.97698056,6197.698058,554.7172848,4499.82596,1524.793335,1496.837646,No,0,0,0,0
