Well,Sample description 1,Sample Type,Distance,Volume Filtered,Target,Conc(copies/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Threshold1,ThresholdSigmaAbove,ThresholdSigmaBelow,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,PoissonConfidenceMax68,PoissonConfidenceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
A01,Healthy-50,Healthy,50,400,1,0.540099442,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,10.8019886,0.978590786,0.257538497,20965,9,20956,975.0623169,17.48661864,15.62091554,6714.34923,504.384149,507.0500057,0.741555929,0.378945529,No,0,0,0,0
A02,Healthy-50,Healthy,50,400,1,0.253332973,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5.066659451,0.597377539,0.076437853,19863,4,19859,975.0623169,15.8300796,14.45221617,7122.427002,530.3624329,531.6899392,0.404660463,0.145470217,No,0,0,0,0
A03,Healthy-50,Healthy,50,400,1,0.179357141,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.587142944,0.47541219,0.042565115,21041,3,21038,975.0623169,1.854401384,15.50404107,5707.404541,524.997212,525.7361133,0.307075053,0.093202747,No,0,0,0,0
B01,Healthy-0,Healthy,0,410,1,0.197038606,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.940772057,0.522285521,0.046761036,19153,3,19150,975.0623169,10.59313268,15.38780024,6242.706543,497.0851339,497.9850903,0.337348908,0.102390543,No,0,0,0,0
B02,Healthy-0,Healthy,0,410,1,0.064656585,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.293131709,0.308829844,0.00271551,19455,1,19454,975.0623169,,15.57186273,6506.187012,527.0221033,527.3294364,0.160936415,0.017521607,No,0,0,0,0
B03,Healthy-0,Healthy,0,410,1,0.191947132,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.838942528,0.50878799,0.045552805,19661,3,19658,975.0623169,10.25250886,15.8063894,6952.700195,530.7692289,531.7491278,0.328631371,0.099744871,No,0,0,0,0
C01,Healthy-100,Healthy,100,500,1,0.192928478,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.858569622,0.511389554,0.045785684,19561,3,19558,975.0623169,31.10544754,16.33688432,6767.028971,503.9800502,504.9405914,0.330311626,0.100254811,No,0,0,0,0
C02,Healthy-100,Healthy,100,500,1,0.391268075,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,7.825361252,0.799881816,0.153232157,19292,6,19286,975.0623169,18.65693761,15.39292162,7126.214437,530.2249157,532.2763327,0.575206101,0.25150618,No,0,0,0,0
C03,Healthy-100,Healthy,100,500,1,0.306578666,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6.1315732,0.6662907,0.107784539,20517,5,20512,975.0623169,9.249997695,15.53129459,6697.648926,516.7765013,518.2827821,0.466949046,0.187985167,No,0,0,0,0
D01,Wasting-0,Wasting,0,500,1,57.20756149,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1144.151245,60.87428284,53.55149078,21097,938,20159,975.0623169,9.592152531,16.36361664,6658.802652,492.5843025,766.7423729,59.07700348,55.34089279,No,0,0,0,0
